 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5739296      498894584  [I (java.base@11.0.15)
   2:       7750809      248025888  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
   3:       5585794      223431760  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
   4:       5662794      181209408  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
   5:       1342732      173878776  [B (java.base@11.0.15)
   6:          6656      119562680  [J (java.base@11.0.15)
   7:        267063      117095064  [Ljava.lang.Object; (java.base@11.0.15)
   8:       1325605       31814520  java.lang.String (java.base@11.0.15)
   9:        534070       17090240  java.util.HashMap$Node (java.base@11.0.15)
  10:        312099       12483960  com.intellij.util.lang.ImmutableZipEntry
  11:        387986        9311664  com.intellij.openapi.vcs.LocalFilePath
  12:            73        8674192  [Lcom.intellij.concurrency.ConcurrentIntObjectHashMap$Node;
  13:         57779        6800936  java.lang.Class (java.base@11.0.15)
  14:        185504        5936128  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.15)
  15:         22861        4839784  [Ljava.util.HashMap$Node; (java.base@11.0.15)
  16:        134436        4301952  com.jetbrains.cidr.lang.types.OCReferenceTypeSimple
  17:        131618        4211776  com.jetbrains.cidr.lang.symbols.OCSymbolReference$GlobalReference
  18:         49199        3935920  com.jetbrains.cidr.lang.symbols.cpp.OCDeclaratorSymbolImpl
  19:           396        3751960  [Lcom.intellij.util.lang.ImmutableZipEntry;
  20:         88292        3531680  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey
  21:        147111        3530664  java.util.ArrayList (java.base@11.0.15)
  22:         88119        2819808  com.intellij.util.containers.ConcurrentWeakKeyWeakValueHashMap$WeakValue
  23:         37149        2674728  com.jetbrains.cidr.lang.symbols.cpp.OCFunctionSymbol
  24:          2318        2121312  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.15)
  25:         50990        2039600  java.util.LinkedHashMap$Entry (java.base@11.0.15)
  26:          1208        1932864  [C (java.base@11.0.15)
  27:         60032        1921024  com.intellij.util.containers.IntObjectLRUMap$MapEntry
  28:         38285        1531400  com.jetbrains.cidr.lang.types.OCFunctionType
  29:         34079        1363160  java.util.TreeMap$Entry (java.base@11.0.15)
  30:         32497        1181728  [Ljava.lang.String; (java.base@11.0.15)
  31:         49116        1178784  groovyjarjarantlr4.v4.runtime.atn.ATNConfig
  32:         33430        1069760  com.intellij.concurrency.ConcurrentIntObjectHashMap$Node
  33:         30073         962336  com.intellij.openapi.vfs.newvfs.impl.VfsData$Segment
  34:         29658         949056  com.intellij.openapi.vfs.impl.local.WatchRootsManager$SymlinkData
  35:         11124         800928  java.lang.reflect.Field (java.base@11.0.15)
  36:         33036         792864  com.jetbrains.cidr.lang.symbols.OCQualifiedName
  37:         23493         751776  java.util.Hashtable$Entry (java.base@11.0.15)
  38:         13016         728896  java.util.LinkedHashMap (java.base@11.0.15)
  39:            22         721248  [Ljava.util.concurrent.ForkJoinTask; (java.base@11.0.15)
  40:         14770         708960  java.util.HashMap (java.base@11.0.15)
  41:         10486         671104  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  42:          7239         637032  java.lang.reflect.Method (java.base@11.0.15)
  43:         11294         632464  com.jetbrains.cidr.lang.symbols.cpp.OCTypeParameterTypeSymbol
  44:         25037         600888  com.intellij.openapi.vfs.impl.local.WatchRootsManager$WatchSymlinkRequest
  45:         37118         593888  java.lang.Object (java.base@11.0.15)
  46:         14145         565800  com.jetbrains.cidr.lang.types.OCPointerType
  47:         13880         555200  com.jetbrains.cidr.lang.symbols.OCSymbolReference$TemplateArgumentsReference
  48:         13512         540480  java.lang.ref.SoftReference (java.base@11.0.15)
  49:         11080         531840  java.lang.invoke.MemberName (java.base@11.0.15)
  50:         13230         529200  org.jdom.Attribute
  51:         30297         484752  java.util.concurrent.atomic.AtomicIntegerArray (java.base@11.0.15)
  52:         30233         483728  java.util.concurrent.atomic.AtomicReferenceArray (java.base@11.0.15)
